Timestamp,Event,Instrument,Hit_Depth,Confidence
Timestamp,Event,Instrument,Hit_Depth,Confidence
1765556038293,NoteOn,Piano_B,250.0,1.0
1765556038658,NoteOff,Piano_B,0,0
1765556039158,NoteOn,Piano_G,367.0,1.0
1765556039792,NoteOff,Piano_G,0,0
1765556040058,NoteOn,Piano_A,258.0,1.0
Timestamp,Event,Instrument,Hit_Depth,Confidence
1765556167222,NoteOn,Piano_A,252.0,1.0
1765556178063,NoteOff,Piano_A,0,0
1765556179582,NoteOn,Piano_B,0.0,1.0
1765556180618,NoteOn,Piano_A,250.0,1.0
1765556180676,NoteOff,Piano_B,0,0
1765556180983,NoteOn,Piano_B,0.0,1.0
1765556181208,NoteOff,Piano_B,0,0
1765556182817,NoteOn,Piano_B,0.0,1.0
1765556184074,NoteOff,Piano_B,0,0
1765556184682,NoteOn,Piano_B,249.0,1.0
1765556185449,NoteOff,Piano_B,0,0
1765556185551,NoteOff,Piano_A,0,0
1765556186052,NoteOn,Piano_A,278.0,1.0
1765556189750,NoteOff,Piano_A,0,0
1765556190115,NoteOn,Piano_B,266.0,1.0
1765556190141,NoteOff,Piano_B,0,0
1765556190617,NoteOn,Piano_G,266.0,1.0
1765556192171,NoteOff,Piano_G,0,0
1765556192484,NoteOn,Piano_A,255.0,1.0
Timestamp,Event,Instrument,Hit_Depth,Confidence
1765556361852,NoteOn,Piano_A,234.0,1.0
1765556362121,NoteOff,Piano_A,0,0
1765556363353,NoteOn,Piano_G,252.0,1.0
1765556363485,NoteOff,Piano_G,0,0
1765556366806,NoteOn,Piano_A,249.0,1.0
1765556366888,NoteOff,Piano_A,0,0
1765556367082,NoteOn,Piano_A,242.0,1.0
1765556367541,NoteOff,Piano_A,0,0
1765556368091,NoteOn,Piano_A,240.0,1.0
1765556369451,NoteOff,Piano_A,0,0
1765556370617,NoteOn,Piano_A,240.0,1.0
1765556371251,NoteOff,Piano_A,0,0
1765556371450,NoteOn,Piano_A,233.0,1.0
Timestamp,Event,Instrument,Hit_Depth,Confidence
1765556436740,NoteOn,Piano_B,235.0,1.0
1765556437146,NoteOff,Piano_B,0,0
1765556438339,NoteOn,Piano_A,234.0,1.0
1765556439008,NoteOff,Piano_A,0,0
1765556439672,NoteOn,Piano_A,233.0,1.0
1765556439973,NoteOff,Piano_A,0,0
Timestamp,Event,Instrument,Hit_Depth,Confidence
1765556470597,NoteOn,Piano_A,230.0,1.0
1765556470754,NoteOff,Piano_A,0,0
1765556471052,NoteOn,Piano_A,235.0,1.0
1765556477171,Hit,Boom,0,1.0
1765556477891,Hit,Boom,0,1.0
1765556478024,Hit,Boom,0,1.0
1765556478194,Hit,Boom,0,1.0
1765556478424,Hit,Boom,0,1.0
1765556489620,Hit,Boom,0,1.0
1765556490324,Hit,Boom,0,1.0
1765556492319,Hit,Kick,0,1.0
1765556493157,Hit,Kick,0,1.0
1765556495357,Hit,Boom,0,1.0
1765556495957,Hit,Boom,0,1.0
1765556496793,Hit,Kick,0,1.0
1765556498257,Hit,Kick,0,1.0
1765556499986,Hit,Boom,0,1.0
1765556500854,Hit,Kick,0,1.0
